Istituzione Scolastica;Ordine Scolastico;Scuola/Indirizzo;Scuola/Indirizzo - Codice PAT;Numero Iscritti;Numero Classi
ISTITUTO COMPRENSIVO GIUDICARIE ESTERIORI;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. PRATI"" PONTE ARCHE";0220163001;232;12
ISTITUTO COMPRENSIVO ISERA - ROVERETO;PRIMARIA;"SCUOLA PRIMARIA ""F.lli FILZI"" ROVERETO";0221612110;398;21
ISTITUTO COMPRENSIVO ISERA - ROVERETO;PRIMARIA;"SCUOLA PRIMARIA ""R. LEVI MONTALCINI"" ISERA";0220982101;151;9
ISTITUTO COMPRENSIVO ISERA - ROVERETO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""A. DEGASPERI"" ROVERETO";0221613002;302;13
ISTITUTO COMPRENSIVO LAVIS;PRIMARIA;"SCUOLA PRIMARIA ""A. FRANK"" ZAMBANA";0222252101;108;6
ISTITUTO COMPRENSIVO LAVIS;PRIMARIA;"SCUOLA PRIMARIA ""DON G. GRAZIOLI"" LAVIS";0221032101;364;17
ISTITUTO COMPRENSIVO LAVIS;PRIMARIA;SCUOLA PRIMARIA PRESSANO LAVIS;0221032103;91;5
ISTITUTO COMPRENSIVO LAVIS;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""A. STAINER"" LAVIS";0221033001;348;17
ISTITUTO COMPRENSIVO LEVICO TERME;PRIMARIA;"SCUOLA PRIMARIA ""C. CHIESA"" CALDONAZZO";0220342101;190;11
ISTITUTO COMPRENSIVO LEVICO TERME;PRIMARIA;"SCUOLA PRIMARIA ""G. ROSANELLI"" TENNA";0221902101;55;5
ISTITUTO COMPRENSIVO LEVICO TERME;PRIMARIA;"SCUOLA PRIMARIA ""PADRE B. MARTINELLI"" CALCERANICA AL LAGO";0220322101;81;5
ISTITUTO COMPRENSIVO LEVICO TERME;PRIMARIA;SCUOLA PRIMARIA LEVICO TERME;0221042101;371;18
ISTITUTO COMPRENSIVO LEVICO TERME;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. B. DE GASPARIS"" LEVICO TERME";0221043001;485;24
ISTITUTO COMPRENSIVO MEZZOCORONA;PRIMARIA;"SCUOLA PRIMARIA ""A. DEGASPERI"" MEZZOCORONA";0221162101;286;15
ISTITUTO COMPRENSIVO MEZZOCORONA;PRIMARIA;"SCUOLA PRIMARIA ""F. BIASI"" S.MICHELE ALL'ADIGE";0221672101;143;7
ISTITUTO COMPRENSIVO MEZZOCORONA;PRIMARIA;"SCUOLA PRIMARIA ""F.LLI BRONZETTI"" ROVERE' DELLA LUNA";0221602101;64;5
ISTITUTO COMPRENSIVO MEZZOCORONA;PRIMARIA;SCUOLA PRIMARIA GRUMO;0221672102;82;5
ISTITUTO COMPRENSIVO MEZZOCORONA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""E. CHINI"" MEZZOCORONA";0221163001;337;15
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA;PRIMARIA;"SCUOLA PRIMARIA ""C. DARWIN"" MEZZOLOMBARDO";0221172101;382;20
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA;PRIMARIA;"SCUOLA PRIMARIA ""Don L. Rossi"" FAI DELLA PAGANELLA";0220812101;23;2
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA;PRIMARIA;"SCUOLA PRIMARIA ""L. Nicolussi"" MOLVENO";0221202101;34;3
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA;PRIMARIA;"SCUOLA PRIMARIA ""San G. Bosco"" SPORMAGGIORE";0221802101;95;6
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA;PRIMARIA;SCUOLA PRIMARIA ANDALO;0220052101;69;5
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA;PRIMARIA;SCUOLA PRIMARIA NAVE SAN ROCCO;0221262101;83;5
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""A. ECCHER DALL'ECO"" MEZZOLOMBARDO";0221173001;275;15
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""C. Battisti"" ANDALO";0220053001;95;6
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO SPORMAGGIORE;0221803001;41;3
ISTITUTO COMPRENSIVO MORI;PRIMARIA;SCUOLA PRIMARIA MORI;0221232101;397;20
ISTITUTO COMPRENSIVO MORI;PRIMARIA;SCUOLA PRIMARIA RONZO CHIENIS;0221352101;65;5
ISTITUTO COMPRENSIVO MORI;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""B. MALFATTI"" MORI";0221233001;311;15
ISTITUTO COMPRENSIVO PERGINE 1;PRIMARIA;"SCUOLA PRIMARIA ""DON L. MILANI"" PERGINE VALSUGANA";0221392101;259;13
ISTITUTO COMPRENSIVO PERGINE 1;PRIMARIA;SCUOLA PRIMARIA CANEZZA;0221392103;90;5
ISTITUTO COMPRENSIVO PERGINE 1;PRIMARIA;SCUOLA PRIMARIA S.FELICE FIEROZZO;0220852101;31;5
ISTITUTO COMPRENSIVO PERGINE 1;PRIMARIA;SCUOLA PRIMARIA SANT'ORSOLA;0221682101;46;5
ISTITUTO COMPRENSIVO PERGINE 1;PRIMARIA;SCUOLA PRIMARIA ZIVIGNAGO;0221392110;109;5
ISTITUTO COMPRENSIVO PERGINE 1;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""C. ANDREATTA"" PERGINE VALSUGANA";0221393001;369;17
"ISTITUTO COMPRENSIVO PERGINE 2 ""C. Freinet""";PRIMARIA;"SCUOLA PRIMARIA ""G. RODARI"" PERGINE VALSUGANA";0221392112;300;15
"ISTITUTO COMPRENSIVO PERGINE 2 ""C. Freinet""";PRIMARIA;SCUOLA PRIMARIA CANALE;0221392102;112;7
"ISTITUTO COMPRENSIVO PERGINE 2 ""C. Freinet""";PRIMARIA;SCUOLA PRIMARIA MADRANO;0221392104;92;6
"ISTITUTO COMPRENSIVO PERGINE 2 ""C. Freinet""";PRIMARIA;SCUOLA PRIMARIA SUSA';0221392107;96;6
"ISTITUTO COMPRENSIVO PERGINE 2 ""C. Freinet""";SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""T. GARBARI"" PERGINE VALSUGANA";0221393002;434;19
ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO;PRIMARIA;"SCUOLA PRIMARIA ""G. MANEGA"" TESERO";0221962101;170;10
ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO;PRIMARIA;"SCUOLA PRIMARIA ""I. MASIA"" ZIANO DI FIEMME";0222262101;88;5
ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO;PRIMARIA;"SCUOLA PRIMARIA ""M. MORANDINI DEGASPERI"" PREDAZZO";0221472101;164;10
ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. ALBERTI"" TESERO";0221963001;125;6
ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""MARZARI PENCATI"" PREDAZZO";0221473001;162;9
ISTITUTO COMPRENSIVO RIVA 1;PRIMARIA;"SCUOLA PRIMARIA ""N. PERNICI"" RIVA DEL GARDA";0221532101;296;14
ISTITUTO COMPRENSIVO RIVA 1;PRIMARIA;SCUOLA PRIMARIA NAGO TORBOLE;0221242101;130;8
ISTITUTO COMPRENSIVO RIVA 1;PRIMARIA;SCUOLA PRIMARIA S. ALESSANDRO RIVA DEL GARDA;0221532104;137;7
ISTITUTO COMPRENSIVO RIVA 1;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""D. CHIESA"" RIVA DEL GARDA";0221533001;419;18
"ISTITUTO COMPRENSIVO RIVA 2 ""L. Pizzini""";PRIMARIA;"SCUOLA PRIMARIA ""A. ZADRA"" RIONE DEGASPERI RIVA DEL GARDA";0221532106;216;14
"ISTITUTO COMPRENSIVO RIVA 2 ""L. Pizzini""";PRIMARIA;"SCUOLA PRIMARIA ""G. FEDRIGONI"" VARONE RIVA DEL GARDA";0221532105;238;11
"ISTITUTO COMPRENSIVO RIVA 2 ""L. Pizzini""";PRIMARIA;"SCUOLA PRIMARIA ""O. LUCCHI"" TENNO";0221912101;116;7
"ISTITUTO COMPRENSIVO RIVA 2 ""L. Pizzini""";SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""S. SIGHELE"" RIVA DEL GARDA";0221533002;299;14
ISTITUTO COMPRENSIVO ROVERETO EST;PRIMARIA;"SCUOLA PRIMARIA ""F. CAVALLIN"" VALLARSA RAOSSI";0222102101;42;5
ISTITUTO COMPRENSIVO ROVERETO EST;PRIMARIA;"SCUOLA PRIMARIA ""N. VALDUGA"" TERRAGNOLO";0221932101;14;2
ISTITUTO COMPRENSIVO ROVERETO EST;PRIMARIA;"SCUOLA PRIMARIA ""REGINA ELENA"" ROVERETO";0221612102;385;20
ISTITUTO COMPRENSIVO ROVERETO EST;PRIMARIA;SCUOLA PRIMARIA MOSCHERI TRAMBILENO;0222032101;40;4
ISTITUTO COMPRENSIVO ROVERETO EST;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""D. CHIESA"" ROVERETO";0221613001;351;16
ISTITUTO COMPRENSIVO ROVERETO NORD;PRIMARIA;"SCUOLA PRIMARIA ""D. CHIESA"" NORIGLIO";0221612108;99;5
ISTITUTO COMPRENSIVO ROVERETO NORD;PRIMARIA;"SCUOLA PRIMARIA ""M. K. GANDHI"" ROVERETO";0221612112;337;16
ISTITUTO COMPRENSIVO ROVERETO NORD;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""L. NEGRELLI"" ROVERETO";0221613004;337;16
ISTITUTO COMPRENSIVO ROVERETO SUD;PRIMARIA;"SCUOLA PRIMARIA ""A. ROSMINI"" MARCO";0221612106;168;9
ISTITUTO COMPRENSIVO ROVERETO SUD;PRIMARIA;"SCUOLA PRIMARIA ""D. ALIGHIERI"" ROVERETO";0221612104;307;16
ISTITUTO COMPRENSIVO ROVERETO SUD;PRIMARIA;"SCUOLA PRIMARIA ""F. GUELLA"" LIZZANA";0221612105;171;9
ISTITUTO COMPRENSIVO ROVERETO SUD;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""F. HALBHERR"" ROVERETO";0221613003;330;15
ISTITUTO COMPRENSIVO STRIGNO E TESINO;PRIMARIA;"SCUOLA PRIMARIA ""A. DEGASPERI"" PIEVE TESINO";0221422101;66;5
ISTITUTO COMPRENSIVO STRIGNO E TESINO;PRIMARIA;SCUOLA PRIMARIA OSPEDALETTO;0221302101;35;3
ISTITUTO COMPRENSIVO STRIGNO E TESINO;PRIMARIA;SCUOLA PRIMARIA SAMONE;0221652101;39;4
ISTITUTO COMPRENSIVO STRIGNO E TESINO;PRIMARIA;SCUOLA PRIMARIA SCURELLE;0221712101;77;5
ISTITUTO COMPRENSIVO STRIGNO E TESINO;PRIMARIA;SCUOLA PRIMARIA STRIGNO;0221852101;60;5
ISTITUTO COMPRENSIVO STRIGNO E TESINO;PRIMARIA;SCUOLA PRIMARIA VILLA AGNEDO;0222212101;61;5
ISTITUTO COMPRENSIVO STRIGNO E TESINO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""O. BRENTARI"" STRIGNO";0221853001;204;10
ISTITUTO COMPRENSIVO STRIGNO E TESINO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO CASTELLO TESINO;0220483001;35;3
ISTITUTO COMPRENSIVO TAIO;PRIMARIA;"SCUOLA PRIMARIA ""MONS. A. NEGRI"" TRES";0222062101;63;5
ISTITUTO COMPRENSIVO TAIO;PRIMARIA;SCUOLA PRIMARIA COREDO;0220672101;143;9
ISTITUTO COMPRENSIVO TAIO;PRIMARIA;SCUOLA PRIMARIA TAIO;0221862101;162;10
ISTITUTO COMPRENSIVO TAIO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""F. BARBACOVI"" COREDO";0220673001;83;6
ISTITUTO COMPRENSIVO TAIO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""F. BARBACOVI"" TAIO";0221863001;152;8
ISTITUTO COMPRENSIVO TIONE;PRIMARIA;"SCUOLA PRIMARIA ""A. PRANDINI"" RONCONE";0221582101;70;5
ISTITUTO COMPRENSIVO TIONE;PRIMARIA;SCUOLA PRIMARIA BONDO-BREGUZZO;0220242101;77;5
ISTITUTO COMPRENSIVO TIONE;PRIMARIA;SCUOLA PRIMARIA RAGOLI;0221512101;60;5
ISTITUTO COMPRENSIVO TIONE;PRIMARIA;SCUOLA PRIMARIA TIONE DI TRENTO;0221992101;173;10
ISTITUTO COMPRENSIVO TIONE;PRIMARIA;SCUOLA PRIMARIA ZUCLO;0222272101;69;5
ISTITUTO COMPRENSIVO TIONE;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""LEGIONE TRENTINA"" TIONE DI TRENTO";0221993001;194;9
ISTITUTO COMPRENSIVO TIONE;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO RONCONE;0221583001;63;3
ISTITUTO COMPRENSIVO TRENTO 1;PRIMARIA;"SCUOLA PRIMARIA ""G. TOMASI"" VILLAZZANO";0222052105;185;10
ISTITUTO COMPRENSIVO TRENTO 1;PRIMARIA;"SCUOLA PRIMARIA ""U. MOGGIOLI"" POVO";0222052141;236;12
ISTITUTO COMPRENSIVO TRENTO 1;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. PASCOLI"" POVO";0222053010;317;15
"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""";PRIMARIA;"SCUOLA PRIMARIA ""E. BERNARDI"" COGNOLA";0222052136;307;16
"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""";PRIMARIA;"SCUOLA PRIMARIA ""R. BELENZANI"" S.VITO";0222052139;89;5
"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""";PRIMARIA;"SCUOLA PRIMARIA ""R. ZANDONAI"" MARTIGNANO";0222052138;197;11
"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""";SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""ARGENTARIO"" TRENTO";0222053015;399;19
ISTITUTO COMPRENSIVO TRENTO 3;PRIMARIA;"SCUOLA PRIMARIA ""A. NICOLODI"" TRENTO";0222052133;224;12
ISTITUTO COMPRENSIVO TRENTO 3;PRIMARIA;"SCUOLA PRIMARIA ""D. SAVIO"" TRENTO";0222052128;116;6
ISTITUTO COMPRENSIVO TRENTO 3;PRIMARIA;"SCUOLA PRIMARIA ""G. B. DE GASPARI"" TRENTO";0222052147;204;11
ISTITUTO COMPRENSIVO TRENTO 3;PRIMARIA;SCUOLA PRIMARIA RAVINA;0222052131;132;8
ISTITUTO COMPRENSIVO TRENTO 3;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""BRONZETTI - SEGANTINI"" TRENTO";0222053099;446;20
ISTITUTO COMPRENSIVO TRENTO 4;PRIMARIA;SCUOLA PRIMARIA CLARINA TRENTO;0222052145;257;14
ISTITUTO COMPRENSIVO TRENTO 4;PRIMARIA;SCUOLA PRIMARIA LOCALITA' MADONNA BIANCA TRENTO;0222052134;153;9
ISTITUTO COMPRENSIVO TRENTO 4;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""O. WINKLER"" TRENTO";0222053001;283;14
ISTITUTO COMPRENSIVO TRENTO 5;PRIMARIA;"SCUOLA PRIMARIA ""A. GORFER"" TRENTO";0222052122;294;15
ISTITUTO COMPRENSIVO TRENTO 5;PRIMARIA;"SCUOLA PRIMARIA ""F. CRISPI"" TRENTO";0222052101;219;10
ISTITUTO COMPRENSIVO TRENTO 5;PRIMARIA;"SCUOLA PRIMARIA ""R. SANZIO"" TRENTO";0222052117;336;15
ISTITUTO COMPRENSIVO TRENTO 5;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. BRESADOLA"" TRENTO";0222053002;510;25
ISTITUTO COMPRENSIVO TRENTO 6;PRIMARIA;"SCUOLA PRIMARIA ""A. DEGASPERI"" SARDAGNA";0222052114;33;5
ISTITUTO COMPRENSIVO TRENTO 6;PRIMARIA;"SCUOLA PRIMARIA ""A. SCHMID"" CRISTO RE TRENTO";0222052144;428;24
ISTITUTO COMPRENSIVO TRENTO 6;PRIMARIA;"SCUOLA PRIMARIA ""S. PERTINI"" SOPRAMONTE";0222052115;121;6
ISTITUTO COMPRENSIVO TRENTO 6;PRIMARIA;"SCUOLA PRIMARIA ""SAN VIGILIO"" VELA";0222052111;78;5
ISTITUTO COMPRENSIVO TRENTO 6;PRIMARIA;SCUOLA PRIMARIA CADINE;0222052112;127;6
ISTITUTO COMPRENSIVO TRENTO 6;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""A. MANZONI"" TRENTO";0222053004;461;21
"ISTITUTO COMPRENSIVO TRENTO 7 ""Rita Levi Montalcini""";PRIMARIA;"SCUOLA PRIMARIA ""E. DECARLI"" MEANO";0222052126;148;9
"ISTITUTO COMPRENSIVO TRENTO 7 ""Rita Levi Montalcini""";PRIMARIA;"SCUOLA PRIMARIA ""I. CALVINO"" VIGO MEANO";0222052127;84;6
"ISTITUTO COMPRENSIVO TRENTO 7 ""Rita Levi Montalcini""";PRIMARIA;"SCUOLA PRIMARIA ""PIGARELLI"" GARDOLO TRENTO";0222052146;322;16
"ISTITUTO COMPRENSIVO TRENTO 7 ""Rita Levi Montalcini""";PRIMARIA;"SCUOLA PRIMARIA ""S. ANNA"" GARDOLO TRENTO";0222052125;246;12
"ISTITUTO COMPRENSIVO TRENTO 7 ""Rita Levi Montalcini""";SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""S. PEDROLLI"" GARDOLO TRENTO";0222053008;457;21
ISTITUTO COMPRENSIVO VAL RENDENA;PRIMARIA;"SCUOLA PRIMARIA ""G. B. RIGHI"" MADONNA DI CAMPIGLIO";0221432102;65;5
ISTITUTO COMPRENSIVO VAL RENDENA;PRIMARIA;"SCUOLA PRIMARIA ""N. BOLOGNINI"" PINZOLO";0221432101;60;5
ISTITUTO COMPRENSIVO VAL RENDENA;PRIMARIA;"SCUOLA PRIMARIA ""S. MASSARI"" SPIAZZO RENDENA";0221792101;53;5
ISTITUTO COMPRENSIVO VAL RENDENA;PRIMARIA;"SCUOLA PRIMARIA ""T. GIUSTINA"" CADERZONE";0220292101;59;5
ISTITUTO COMPRENSIVO VAL RENDENA;PRIMARIA;"SCUOLA PRIMARIA ""V. GABRIOTTI"" GIUSTINO";0220932101;40;4
ISTITUTO COMPRENSIVO VAL RENDENA;PRIMARIA;SCUOLA PRIMARIA CARISOLO;0220422101;75;5
ISTITUTO COMPRENSIVO VAL RENDENA;PRIMARIA;SCUOLA PRIMARIA DARE';0220732101;109;6
ISTITUTO COMPRENSIVO VAL RENDENA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""B. DE AVERARIA"" SPIAZZO RENDENA";0221793001;154;9
ISTITUTO COMPRENSIVO VAL RENDENA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. B. RIGHI"" MADONNA DI CAMPIGLIO";0221433002;29;3
ISTITUTO COMPRENSIVO VAL RENDENA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""L. DA VINCI"" PINZOLO";0221433001;125;6
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO;PRIMARIA;SCUOLA PRIMARIA CALAVINO;0220312101;85;5
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO;PRIMARIA;SCUOLA PRIMARIA CAVEDINE;0220532101;105;5
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO;PRIMARIA;SCUOLA PRIMARIA DRO;0220792101;268;14
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO;PRIMARIA;SCUOLA PRIMARIA PIETRAMURATA;0220792102;81;5
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO;PRIMARIA;SCUOLA PRIMARIA SARCHE CALAVINO;0220312102;80;5
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO;PRIMARIA;SCUOLA PRIMARIA TERLAGO;0221922101;122;7
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO;PRIMARIA;SCUOLA PRIMARIA VEZZANO;0222152101;94;5
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""C. MADRUZZO"" CAVEDINE";0220533001;124;7
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""NUOVA EUROPA"" DRO";0220793001;223;11
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""S. BELLESINI"" VEZZANO";0222153001;175;9
ISTITUTO COMPRENSIVO VALLE DI LEDRO;PRIMARIA;"SCUOLA PRIMARIA ""O. FERRARI"" ENGUISO";0220652101;93;5
ISTITUTO COMPRENSIVO VALLE DI LEDRO;PRIMARIA;SCUOLA PRIMARIA MOLINA DI LEDRO;0221192101;59;5
ISTITUTO COMPRENSIVO VALLE DI LEDRO;PRIMARIA;SCUOLA PRIMARIA TIARNO DI SOPRA;0221972101;47;4
ISTITUTO COMPRENSIVO VALLE DI LEDRO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. GARIBALDI"" BEZZECCA";0220143001;155;8
ISTITUTO COMPRENSIVO VIGOLO VATTARO;PRIMARIA;"SCUOLA PRIMARIA ""A. FOGAZZARO"" VATTARO";0222122101;75;5
ISTITUTO COMPRENSIVO VIGOLO VATTARO;PRIMARIA;"SCUOLA PRIMARIA ""DON T. SEGNANA"" CENTA SAN NICOLO'";0220562101;55;6
ISTITUTO COMPRENSIVO VIGOLO VATTARO;PRIMARIA;SCUOLA PRIMARIA VIGOLO VATTARO;0222192101;133;8
ISTITUTO COMPRENSIVO VIGOLO VATTARO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO VIGOLO VATTARO;0222193001;144;7
ISTITUTO COMPRENSIVO VILLA LAGARINA;PRIMARIA;"SCUOLA PRIMARIA ""L. VICENTINI"" NOMI";0221282101;44;4
ISTITUTO COMPRENSIVO VILLA LAGARINA;PRIMARIA;"SCUOLA PRIMARIA ""P. LODRON"" VILLA LAGARINA";0222222101;208;10
ISTITUTO COMPRENSIVO VILLA LAGARINA;PRIMARIA;"SCUOLA PRIMARIA ""R. GALVAGNI"" POMAROLO";0221442101;136;9
ISTITUTO COMPRENSIVO VILLA LAGARINA;PRIMARIA;SCUOLA PRIMARIA NOGAREDO;0221272101;76;5
ISTITUTO COMPRENSIVO VILLA LAGARINA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""A. FRANK"" VILLA LAGARINA";0222223001;266;12
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI PRIMO GRADO;EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO;0220227902;10;1
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO PROFESSIONALE PER I SERVIZI SANITARI SERALE;0220225511;95;7
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0220225402;202;12
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0220225509;77;4
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0220225503;55;5
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE;0220225510;28;4
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE;0220227105;152;9
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO;0220227103;115;8
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0220227104;170;10
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI PRIMO GRADO;EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO;0221999902;61;6
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0221995403;200;11
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0221996204;10;3
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE;0221996204;10;3
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0221995206;120;8
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE;0221996203;15;3
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;LICEO DELLE SCIENZE UMANE;0221997106;155;9
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";SECONDARIA DI SECONDO GRADO;LICEO LINGUISTICO;0221997105;134;9
