Istituzione Scolastica;Ordine Scolastico;Scuola/Indirizzo;Scuola/Indirizzo - Codice PAT;Numero Iscritti;Numero Classi
GARDASCUOLA SOCIETA' COOPERATIVA SOCIALE - ARCO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO GARDASCUOLA ARCO;0220063002;140;9
GARDASCUOLA SOCIETA' COOPERATIVA SOCIALE - ARCO;SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0220065401;106;7
GARDASCUOLA SOCIETA' COOPERATIVA SOCIALE - ARCO;SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0220067103;67;5
Giuseppe Veronesi - Centro di istruzione scolastica e di formazione professionale;SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0221619690;106;5
Giuseppe Veronesi - Centro di istruzione scolastica e di formazione professionale;FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO;0221619699;515;27
Giuseppe Veronesi - Centro di istruzione scolastica e di formazione professionale;FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO SERALE;0221619695;22;4
"ISTITUTO COMPRENSIVO ALA ""Antonio Bresciani""";PRIMARIA;"SCUOLA PRIMARIA ""A. BETTA"" ALA";0220012101;312;15
"ISTITUTO COMPRENSIVO ALA ""Antonio Bresciani""";PRIMARIA;"SCUOLA PRIMARIA ""M.T. di Calcutta"" SERRAVALLE";0220012105;104;6
"ISTITUTO COMPRENSIVO ALA ""Antonio Bresciani""";SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""C. BATTISTI"" ALA";0220013001;266;13
ISTITUTO COMPRENSIVO ALDENO MATTARELLO;PRIMARIA;SCUOLA PRIMARIA ALDENO;0220032101;156;10
ISTITUTO COMPRENSIVO ALDENO MATTARELLO;PRIMARIA;SCUOLA PRIMARIA CIMONE;0220582101;45;4
ISTITUTO COMPRENSIVO ALDENO MATTARELLO;PRIMARIA;SCUOLA PRIMARIA MATTARELLO;0222052130;315;15
ISTITUTO COMPRENSIVO ALDENO MATTARELLO;PRIMARIA;SCUOLA PRIMARIA ROMAGNANO TRENTO;0222052132;65;5
ISTITUTO COMPRENSIVO ALDENO MATTARELLO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""A. FOGAZZARO"" MATTARELLO";0222053009;253;12
ISTITUTO COMPRENSIVO ALDENO MATTARELLO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO ALDENO;0220033001;106;6
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE;PRIMARIA;"SCUOLA PRIMARIA ""E. BEZZI"" OSSANA";0221312101;68;5
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE;PRIMARIA;SCUOLA PRIMARIA COGOLO DI PEIO;0221362104;81;5
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE;PRIMARIA;SCUOLA PRIMARIA COMMEZZADURA;0220642101;67;5
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE;PRIMARIA;SCUOLA PRIMARIA PASSO TONALE;0222132102;19;2
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE;PRIMARIA;SCUOLA PRIMARIA VERMIGLIO;0222132101;62;5
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""C. ZANELLA"" FUCINE DI OSSANA";0221313001;180;9
ISTITUTO COMPRENSIVO ALTA VALLAGARINA;PRIMARIA;"SCUOLA PRIMARIA ""A.DE VALENTINI"" CALLIANO";0220352101;102;7
ISTITUTO COMPRENSIVO ALTA VALLAGARINA;PRIMARIA;"SCUOLA PRIMARIA ""G. TOVAZZI"" VOLANO";0222242101;134;10
ISTITUTO COMPRENSIVO ALTA VALLAGARINA;PRIMARIA;"SCUOLA PRIMARIA ""S. PELLICO"" BESENELLO";0220132101;139;8
ISTITUTO COMPRENSIVO ALTA VALLAGARINA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""ALTA VALLAGARINA"" VOLANO";0222243001;220;11
ISTITUTO COMPRENSIVO ALTOPIANO DI PINE';PRIMARIA;"SCUOLA PRIMARIA  ""ABRAMO ANDREATTA"" BEDOLLO";0220112101;61;5
ISTITUTO COMPRENSIVO ALTOPIANO DI PINE';PRIMARIA;"SCUOLA PRIMARIA ""G. DALLAFIOR"" BASELGA DI PINE'";0220092101;168;10
ISTITUTO COMPRENSIVO ALTOPIANO DI PINE';PRIMARIA;"SCUOLA PRIMARIA ""G. VERDI"" MIOLA BASELGA DI PINE'";0220092102;82;5
ISTITUTO COMPRENSIVO ALTOPIANO DI PINE';SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""DON GIUSEPPE TARTER""BASELGA DI PINE'";0220093001;209;9
ISTITUTO COMPRENSIVO ARCO;PRIMARIA;"SCUOLA PRIMARIA ""G. SEGANTINI"" ARCO";0220062101;340;16
ISTITUTO COMPRENSIVO ARCO;PRIMARIA;SCUOLA PRIMARIA BOLOGNANO;0220062104;190;10
ISTITUTO COMPRENSIVO ARCO;PRIMARIA;SCUOLA PRIMARIA MASSONE;0220062105;102;5
ISTITUTO COMPRENSIVO ARCO;PRIMARIA;SCUOLA PRIMARIA ROMARZOLLO;0220062102;226;13
ISTITUTO COMPRENSIVO ARCO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""N. D'ARCO"" ARCO";0220063001;483;22
ISTITUTO COMPRENSIVO AVIO;PRIMARIA;SCUOLA PRIMARIA AVIO;0220072101;111;6
ISTITUTO COMPRENSIVO AVIO;PRIMARIA;SCUOLA PRIMARIA SABBIONARA DI AVIO;0220072103;89;5
ISTITUTO COMPRENSIVO AVIO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""D. ALIGHIERI"" AVIO";0220073001;147;7
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO;PRIMARIA;"SCUOLA PRIMARIA ""M. PEZZI"" CAMPODENNO";0220372101;66;5
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO;PRIMARIA;"SCUOLA PRIMARIA ""MONS. S. WEBER"" DENNO";0220742101;90;5
